DATE,GDP_Capita
01-01-2001,49911
01-04-2001,50105
01-07-2001,49774
01-10-2001,49783
01-01-2002,50091
01-04-2002,50286
01-07-2002,50362
01-10-2002,50302
01-01-2003,50462
01-04-2003,50796
01-07-2003,51512
01-10-2003,51986
01-01-2004,52179
01-04-2004,52469
01-07-2004,52835
01-10-2004,53242
01-01-2005,53719
01-04-2005,53868
01-07-2005,54153
01-10-2005,54317
01-01-2006,54927
01-04-2006,54945
01-07-2006,54886
01-10-2006,55216
01-01-2007,55260
01-04-2007,55474
01-07-2007,55649
01-10-2007,55857
01-01-2008,55497
01-04-2008,55705
01-07-2008,55278
01-10-2008,53941
01-01-2009,53221
01-04-2009,53017
01-07-2009,53081
01-10-2009,53531
01-01-2010,53683
01-04-2010,54100
01-07-2010,54401
01-10-2010,54569
01-01-2011,54341
01-04-2011,54610
01-07-2011,54482
01-10-2011,54979
01-01-2012,55342
01-04-2012,55490
01-07-2012,55454
01-10-2012,55403
01-01-2013,55859
01-04-2013,55914
01-07-2013,56272
01-10-2013,56642
01-01-2014,56345
01-04-2014,56968
01-07-2014,57536
01-10-2014,57702
01-01-2015,58121
01-04-2015,58376
01-07-2015,58486
01-10-2015,58470
01-01-2016,58704
01-04-2016,58787
01-07-2016,59084
01-10-2016,59296
01-01-2017,59494
01-04-2017,59736
01-07-2017,60099
01-10-2017,60674
01-01-2018,61093
01-04-2018,61336
01-07-2018,61622
01-10-2018,61619
01-01-2019,61889
01-04-2019,62331
01-07-2019,62945
01-10-2019,63257
01-01-2020,62333
01-04-2020,57386
01-07-2020,61806
01-10-2020,62414
01-01-2021,63227
01-04-2021,64157
01-07-2021,64615
01-10-2021,65651
01-01-2022,65286
01-04-2022,65127
01-07-2022,65462
01-10-2022,65783
01-01-2023,66078
01-04-2023,66341
01-07-2023,67083
