DATE,Owners_Equity_Real Estate
01-10-2001,9325.516
01-01-2002,9565.413
01-04-2002,9743.501
01-07-2002,9915.388
01-10-2002,10084.672
01-01-2003,10285.94
01-04-2003,10432.441
01-07-2003,10604.016
01-10-2003,10827.83
01-01-2004,11344.292
01-04-2004,11685.358
01-07-2004,12167.672
01-10-2004,12608.382
01-01-2005,13045.018
01-04-2005,13454.597
01-07-2005,13934.043
01-10-2005,14351.266
01-01-2006,14135.093
01-04-2006,14207.846
01-07-2006,14243.061
01-10-2006,14170.916
01-01-2007,13722.854
01-04-2007,13418.474
01-07-2007,13055.379
01-10-2007,12619.027
01-01-2008,11861.578
01-04-2008,11316.672
01-07-2008,10787.533
01-10-2008,10318.364
01-01-2009,9790.285
01-04-2009,9397.972
01-07-2009,9147.956
01-10-2009,8975.964
01-01-2010,9003.907
01-04-2010,8991.57
01-07-2010,8925.9
01-10-2010,8828.861
01-01-2011,8538.199
01-04-2011,8490.361
01-07-2011,8456.863
01-10-2011,8340.47
01-01-2012,8219.632
01-04-2012,8472.267
01-07-2012,8762.108
01-10-2012,8996.803
01-01-2013,9454.484
01-04-2013,9989.752
01-07-2013,10496.785
01-10-2013,10850.733
01-01-2014,11186.635
01-04-2014,11628.956
01-07-2014,12014.605
01-10-2014,12258.456
01-01-2015,12621.196
01-04-2015,13028.699
01-07-2015,13425.229
01-10-2015,13687.458
01-01-2016,13978.31
01-04-2016,14460.924
01-07-2016,14893.841
01-10-2016,15244.128
01-01-2017,15612.64
01-04-2017,16065.389
01-07-2017,16490.976
01-10-2017,16818.124
01-01-2018,17403.94
01-04-2018,17714.951
01-07-2018,17976.133
01-10-2018,18182.806
01-01-2019,18649.532
01-04-2019,18944.116
01-07-2019,19137.467
01-10-2019,19411.314
01-01-2020,20016.249
01-04-2020,20678.162
01-07-2020,21294.856
01-10-2020,22121.54
01-01-2021,23292.89
01-04-2021,25023.773
01-07-2021,26505.153
01-10-2021,26978.445
01-01-2022,30478.983
01-04-2022,32500.414
01-07-2022,30984.999
01-10-2022,29901.598
01-01-2023,29792.12
01-04-2023,32192.241
01-07-2023,32617.735
